NOAM_type ,NOM_type ,NMO_type ,AFTD_type ,FANOUT_type ,NOMNAMM_type ,NOA_type ,NIM_type ,DIT_type ,LOC_type ,LOCNAMM_type ,TCC_type ,CBO_type ,RFC_type ,NOC_type ,WMC_type ,WOC_type ,WMCNAMM_type ,AMW_type ,data_class
9,10,0,0,0,1,5,0,1,47,2,0.111111,1,10,0,10,0,1,1,TRUE
0,6,1,0,1,6,1,45,4,59,59,0,0,7,0,11,1,11,1.833333,FALSE
0,1,0,0,0,1,0,0,1,5,5,1,1,1,,1,,1,1,FALSE
2,17,2,51,7,15,22,0,1,695,616,0.722222,10,49,0,179,0.75,165,10.529412,FALSE
0,8,1,13,4,8,5,0,1,125,125,0.5,6,16,0,31,1,31,3.875,FALSE
2,65,1,65,24,63,155,0,1,2137,2127,0.335994,26,126,0,464,0.26,462,7.138462,FALSE
0,16,0,127,18,16,15,0,1,590,590,1,19,107,0,95,1,95,5.9375,FALSE
0,13,0,71,14,13,31,0,1,531,531,1,17,81,0,51,0.2,51,3.923077,FALSE
7,14,0,0,3,7,7,536,6,250,190,0.533333,1,17,0,17,0.363636,9,1.214286,FALSE
5,68,0,36,62,63,109,531,6,1867,1826,0.219373,33,197,0,184,0.348485,179,2.705882,FALSE
13,59,1,6,19,46,32,50,2,1097,957,0.120108,9,96,0,203,0.652174,179,3.440678,FALSE
0,2,0,0,1,2,0,0,1,12,12,0,3,3,0,2,1,2,1,FALSE
0,4,0,0,2,4,4,0,1,29,29,1,3,6,0,4,1,4,1,FALSE
5,9,0,1,3,4,4,0,1,94,38,0.642857,4,13,0,9,0.375,4,1,TRUE
0,12,0,5,9,12,2,0,1,290,290,0.890909,11,34,0,21,1,21,1.75,FALSE
1,2,0,1,5,1,1,0,1,47,30,1,5,9,0,3,0.5,2,1.5,FALSE
5,9,1,0,0,4,6,0,1,117,67,0.142857,0,9,0,10,0.333333,5,1.111111,TRUE
8,73,17,24,13,65,16,31,3,1812,1706,0.471441,19,178,0,234,0.875,221,3.205479,FALSE
0,1,0,0,0,1,6,0,1,24,24,1,0,1,0,1,0.142857,1,1,FALSE
2,9,1,3,3,7,3,0,1,131,93,0,3,12,0,12,0.75,8,1.333333,FALSE
0,14,0,0,0,14,6,0,1,255,255,0.464286,0,14,0,30,1,30,2.142857,FALSE
0,8,1,0,2,8,1,0,1,88,88,1,2,16,0,10,1,10,1.25,FALSE
0,8,,2,13,8,10,,1,155,155,0.047619,15,23,9,17,,17,2.125,FALSE
16,23,0,0,0,7,16,0,1,149,41,0.051948,0,23,0,30,0,7,1.304348,TRUE
1,18,3,39,47,17,44,3,2,2165,2143,0.192308,45,133,0,196,1,191,10.888889,FALSE
0,2,1,0,2,2,0,4,2,21,21,1,9,22,0,2,1,2,1,FALSE
0,3,0,1,2,3,1,6,3,31,31,0,2,11,0,3,1,3,1,FALSE
19,104,0,8,45,85,29,0,1,1526,1384,0.102798,16,175,0,174,0.391304,147,1.673077,FALSE
5,10,0,1,4,5,17,698,5,227,169,0.111111,4,15,0,17,0.5,8,1.7,FALSE
8,10,0,0,1,2,8,0,1,107,59,0,3,17,0,11,0,3,1.1,TRUE
0,2,,0,1,2,1,,1,24,24,1,1,3,2,4,,4,2,FALSE
0,11,,0,0,11,0,,1,58,58,0,0,11,1,11,,11,1,FALSE
13,38,,21,29,25,17,,2,745,637,0.327635,39,130,0,150,,131,3.947368,FALSE
36,89,0,3,5,53,97,520,5,2078,1633,0.115126,1,94,0,136,0.292929,88,1.52809,FALSE
2,25,3,0,3,23,7,13,2,596,576,0.181159,2,43,0,69,0.454545,64,2.76,FALSE
7,55,3,32,3,48,46,13,2,2214,2128,0.326797,3,72,0,264,0.392857,255,4.8,FALSE
5,11,0,0,0,6,6,0,1,121,83,0.177778,0,11,0,13,1,8,1.181818,TRUE
3,50,3,44,3,47,50,13,2,2044,2022,0.35,4,73,0,219,0.318182,216,4.38,FALSE
8,9,0,0,0,1,4,0,1,75,11,0.142857,0,9,0,9,0.111111,1,1,TRUE
0,2,0,0,1,2,7,7,2,129,129,1,3,12,0,26,0.285714,26,13,FALSE
0,2,0,0,1,2,0,7,2,14,14,1,3,12,0,3,1,3,1.5,FALSE
3,5,0,0,1,2,19,0,1,120,83,0,2,6,0,5,0.095238,2,1,TRUE
13,15,0,0,0,2,7,0,1,97,17,0.089744,0,15,0,15,0.133333,2,1,TRUE
5,8,0,0,0,3,3,0,1,47,17,0.2,0,8,0,8,0,3,1,TRUE
0,72,0,12,53,72,33,0,1,1550,1550,0.154327,55,144,0,193,0.847222,193,2.680556,FALSE
4,8,0,0,0,4,4,0,1,49,25,0.142857,0,8,0,8,0.5,4,1,TRUE
0,3,1,0,1,3,2,4,2,31,31,1,1,9,0,4,0.6,4,1.333333,FALSE
2,40,0,14,12,38,22,0,1,1127,1100,0.426743,11,88,0,164,0.727273,162,4.1,FALSE
0,3,0,1,0,3,0,0,1,29,29,0,1,3,,7,,7,2.333333,FALSE
6,6,0,0,0,0,3,0,1,61,19,0.2,0,6,0,6,0,0,1,TRUE
39,157,,43,69,118,39,,1,3877,3392,0.24011,31,366,2,435,,377,2.770701,FALSE
4,31,2,3,1,27,28,0,1,1399,1357,0.278325,2,32,1,332,0.75,325,10.709677,FALSE
3,21,0,38,27,18,63,0,1,1381,1277,0.4,34,115,0,166,0.140845,148,7.904762,FALSE
4,9,1,0,0,5,35,0,1,177,161,0.535714,0,9,0,31,0.217391,26,3.444444,FALSE
4,6,0,1,3,2,2,4,2,36,24,0.6,5,13,0,6,0.2,2,1,TRUE
6,10,1,6,4,4,9,0,1,106,80,0.194444,5,17,0,20,0.25,14,2,TRUE
6,7,0,0,0,1,3,0,1,21,3,0.2,1,7,0,7,0.142857,1,1,TRUE
6,7,0,0,0,1,3,0,1,20,2,0.2,0,7,0,7,0.142857,1,1,TRUE
0,1,0,0,4,1,6,0,1,71,71,1,4,5,0,1,0,1,1,FALSE
0,8,0,0,1,8,3,0,1,269,269,1,1,9,0,24,1,24,3,FALSE
2,11,,0,0,9,1,,1,382,337,0,0,11,2,47,,41,4.272727,FALSE
13,15,0,2,2,2,6,0,1,175,34,0.090909,2,18,0,16,0.142857,2,1.066667,TRUE
0,25,2,17,13,25,52,4,2,1157,1157,0.25,14,75,0,119,0.380952,119,4.76,FALSE
4,5,0,0,0,1,4,0,1,35,11,0,2,5,0,5,0.2,1,1,TRUE
1,62,0,33,22,61,69,15,2,2958,2937,0.333333,29,136,0,390,0.375,388,6.290323,FALSE
10,10,0,0,0,0,5,0,1,109,109,0.111111,1,10,0,10,0,0,1,TRUE
12,26,0,10,4,14,17,0,1,1184,953,0.286765,6,44,0,136,0.266667,97,5.230769,FALSE
6,7,1,0,0,1,3,0,1,44,14,0.238095,1,7,0,7,0.142857,1,1,TRUE
3,45,2,28,9,42,37,516,4,1065,1033,0.252439,9,94,0,200,0.806452,196,4.444444,FALSE
38,139,0,9,17,101,28,0,1,2907,2435,0.308466,17,213,2,485,0.669565,436,3.489209,FALSE
17,18,0,0,0,1,9,0,1,179,43,0.058824,0,18,0,18,0.055556,1,1,TRUE
2,7,2,0,2,5,2,11,2,98,68,1,3,22,0,10,0.6,6,1.428571,FALSE
0,2,0,0,0,2,0,0,1,44,44,0,0,2,0,3,1,3,1.5,FALSE
4,7,1,0,0,3,2,0,1,75,35,0.4,0,7,0,7,0.428571,3,1,TRUE
2,5,0,1,1,3,2,0,1,26,15,0.2,1,7,0,6,0.6,4,1.2,FALSE
7,8,0,0,0,1,4,0,1,32,32,0.142857,0,8,0,8,0.125,1,1,TRUE
6,6,0,0,0,0,3,0,1,24,24,0.2,2,6,1,6,0,0,1,TRUE
6,6,0,0,0,0,3,0,1,25,25,0.2,2,6,0,6,0,0,1,TRUE
6,7,0,0,0,1,3,0,1,29,29,0.2,2,7,0,7,0.142857,1,1,TRUE
6,6,0,0,0,0,3,0,1,24,24,0.2,2,6,0,6,0,0,1,TRUE
6,6,0,0,0,0,3,0,1,23,23,0.2,2,6,0,6,0,0,1,TRUE
8,8,0,0,0,0,4,0,1,31,31,0.142857,1,8,0,8,0,0,1,TRUE
0,1,0,0,0,1,0,0,1,3,3,1,0,1,,1,,1,1,FALSE
0,1,0,0,2,1,0,0,1,3,3,1,3,3,,1,,1,1,FALSE
0,1,0,0,0,1,109,0,1,230,230,1,0,1,0,1,0,1,1,FALSE
0,1,0,12,0,1,33,0,1,110,110,1,1,1,0,1,0,1,1,FALSE
0,2,0,3,1,2,3,0,1,40,40,1,2,3,0,4,1,4,2,FALSE
0,5,0,25,15,5,0,5,2,214,214,1,22,51,0,29,1,29,5.8,FALSE
6,7,0,3,10,1,6,520,5,272,96,0.6,8,21,0,25,0.2,1,3.571429,TRUE
0,7,0,3,11,7,0,10,2,151,151,0,11,37,0,24,1,24,3.428571,FALSE
4,5,0,0,0,1,7,0,1,34,14,0,1,5,0,5,0.125,1,1,TRUE
3,43,34,34,21,40,3,123,3,1400,1348,0.340244,38,302,0,256,0.909091,249,5.953488,FALSE
6,6,0,0,0,0,3,0,1,31,1,0.2,0,6,0,6,0,0,1,TRUE
5,7,1,0,0,2,5,14,3,63,20,0.3,1,7,0,8,0.285714,2,1.142857,TRUE
46,154,0,20,36,108,47,0,1,2792,2378,0.272109,30,248,4,489,0.620438,414,3.175325,FALSE
18,55,0,19,21,37,25,0,1,1299,1179,0.439626,20,120,0,214,0.627907,194,3.890909,FALSE
4,7,1,0,0,3,3,0,1,79,45,0.238095,0,7,0,9,0.428571,3,1.285714,TRUE
4,5,0,0,0,1,4,0,1,63,35,0,0,5,0,5,0.2,1,1,TRUE
10,11,0,0,0,1,5,0,1,117,47,0.111111,0,11,0,11,0.090909,1,1,TRUE
6,7,0,0,0,1,6,0,1,101,53,0,1,7,0,7,0.142857,1,1,TRUE
6,8,0,0,1,2,6,5,2,48,18,0.2,1,14,2,8,0.181818,2,1,TRUE
0,7,0,17,2,7,1,0,1,1217,1217,0.3,2,38,0,167,1,167,23.857143,FALSE
10,12,0,0,0,2,5,0,1,125,55,0.111111,0,12,0,12,0.166667,2,1,TRUE
6,7,0,0,0,1,6,0,1,91,49,0,0,7,0,7,0.142857,1,1,TRUE
6,8,0,0,0,2,3,0,1,81,39,0.2,0,8,0,8,0.25,2,1,TRUE
23,93,0,27,35,70,33,0,1,1494,1324,0.347339,38,202,0,289,0.744186,254,3.107527,FALSE
0,7,1,34,9,7,9,158,7,5126,5126,0,25,134,0,181,0.8,181,25.857143,FALSE
0,8,1,34,11,8,9,158,7,5349,5349,0,25,134,0,185,0.8,185,23.125,FALSE
6,10,0,2,4,4,4,4,2,78,33,0.166667,7,20,0,10,0.4,4,1,TRUE
22,23,0,0,0,1,13,0,1,292,69,0.044118,0,23,0,23,0,1,1,TRUE
22,22,0,0,0,0,12,0,1,224,8,0.047619,0,22,0,22,0,0,1,TRUE
10,10,0,0,0,0,8,0,1,89,9,0.111111,0,10,0,10,0,0,1,TRUE
14,15,0,0,0,1,13,0,1,119,7,0.076923,0,15,0,15,0.047619,1,1,TRUE
1,3,0,8,21,2,18,0,1,413,407,1,22,140,0,136,0.666667,135,45.333333,FALSE
4,4,0,0,0,0,2,0,1,20,0,0.333333,0,4,0,4,0,0,1,TRUE
6,6,0,0,0,0,3,0,1,28,28,0.2,0,6,0,6,0,0,1,TRUE
0,1,0,0,0,1,17,0,1,69,69,1,0,1,0,1,0,1,1,FALSE
0,1,0,0,0,1,42,0,1,79,79,1,0,1,0,1,0,1,1,FALSE
14,14,0,0,0,0,7,0,1,59,59,0.076923,0,14,0,14,0,0,1,TRUE
42,42,0,0,0,0,26,0,1,204,204,0.02439,1,42,0,42,0,0,1,TRUE
14,14,0,0,0,0,7,0,1,59,59,0.076923,0,14,0,14,0,0,1,TRUE
4,7,1,0,0,3,15,0,1,100,68,0.2,0,7,0,8,0.176471,4,1.142857,TRUE
1,52,,13,19,51,37,,6,1320,1315,0.272727,29,162,1,135,,134,2.596154,FALSE
0,1,0,8,0,1,10,0,1,270,270,1,3,1,0,1,0,1,1,FALSE
0,1,0,0,0,1,7,0,1,41,41,1,0,1,0,1,0,1,1,FALSE
8,38,22,30,22,30,8,49,3,1075,989,0.326437,49,174,0,164,0.702703,151,4.315789,FALSE
22,54,17,26,23,32,16,25,2,1614,1257,0.442376,44,158,0,271,0.55102,209,5.018519,FALSE
3,23,0,71,16,20,16,0,1,1054,1030,0.490909,21,86,0,192,0.6,189,8.347826,FALSE
3,34,0,119,67,31,107,0,1,2633,2410,0.501894,74,219,0,442,0.36,404,13,FALSE
13,14,0,0,0,1,13,0,1,121,4,0,1,14,0,14,0.071429,1,1,TRUE
8,10,0,0,0,2,4,0,1,74,26,0.333333,0,10,0,10,0.2,2,1,TRUE
1,14,2,8,9,13,11,7,2,1176,1154,0.3,8,40,0,98,0.833333,97,7,FALSE
3,33,0,87,37,30,57,0,1,3563,3455,0.577778,42,161,0,382,0.4375,362,11.575758,FALSE
1,11,0,28,8,10,12,0,1,1257,1248,1,13,43,0,293,0.285714,292,26.636364,FALSE
12,42,0,10,2,30,54,0,1,1055,986,0.224638,2,47,0,195,0.368421,183,4.642857,FALSE
9,12,5,5,1,3,2,7,2,131,17,0.611111,1,25,0,21,0.25,6,1.75,TRUE
4,20,0,49,16,16,19,0,1,1078,852,0.484848,17,52,0,211,0.692308,176,10.55,FALSE
0,17,0,13,10,17,17,0,1,1128,1128,0.454545,17,42,0,142,1,142,8.352941,FALSE
8,63,0,174,54,55,132,0,1,4491,4361,0.375758,78,231,0,483,0.72973,463,7.666667,FALSE
0,1,0,0,1,1,0,0,1,8,8,1,1,2,0,1,1,1,1,FALSE
4,6,1,0,0,2,4,0,1,38,18,0.2,0,6,0,7,0.125,3,1.166667,TRUE
0,1,1,0,0,1,11,0,1,16,16,1,1,1,0,1,0.083333,1,1,FALSE
14,27,2,5,15,13,19,35,2,1469,1413,0.22381,15,103,0,99,0.391304,85,3.666667,FALSE
0,1,0,0,3,1,9,0,2,232,232,1,2,13,0,3,0.1,3,3,FALSE
9,29,6,11,8,20,25,31,2,541,506,0.261905,17,93,0,89,0.571429,80,3.068966,FALSE
0,36,0,16,15,36,2,0,1,1485,1485,0.113846,14,90,0,212,1,212,5.888889,FALSE
13,90,0,91,47,77,59,0,1,3392,3175,0.416425,52,260,0,553,0.648148,539,6.144444,FALSE
